id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
19,2024,Jaipur,2020-01-19,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,90,2,Wankhede Stadium
20,2020,Mumbai,2020-01-20,Mumbai Indians,Punjab Kings,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,62,7,M Chinnaswamy Stadium
21,2022,Kolkata,2020-01-21,Mumbai Indians,Rajasthan Royals,Chennai Super Kings,field,tie,0,Chennai Super Kings,85,7,Wankhede Stadium
22,2020,Bangalore,2020-01-22,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,33,7,M Chinnaswamy Stadium
23,2023,Chennai,2020-01-23,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,59,6,M Chinnaswamy Stadium
24,2022,Mumbai,2020-01-24,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,bat,tie,0,Chennai Super Kings,57,8,MA Chidambaram Stadium
25,2020,Kolkata,2020-01-25,Kolkata Knight Riders,Punjab Kings,Chennai Super Kings,bat,normal,1,Chennai Super Kings,19,6,M Chinnaswamy Stadium
26,2023,Delhi,2020-01-26,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,11,9,MA Chidambaram Stadium
27,2020,Mohali,2020-01-27,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,6,2,Wankhede Stadium
28,2020,Hyderabad,2020-01-28,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,field,tie,0,Mumbai Indians,2,0,Wankhede Stadium
29,2021,Jaipur,2020-01-29,Mumbai Indians,Rajasthan Royals,Chennai Super Kings,field,tie,0,Chennai Super Kings,51,8,Wankhede Stadium
30,2022,Kolkata,2020-01-30,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,90,8,M Chinnaswamy Stadium
31,2023,Mohali,2020-01-31,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,35,6,Wankhede Stadium
32,2024,Delhi,2020-02-01,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,85,9,M Chinnaswamy Stadium
33,2024,Delhi,2020-02-02,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,22,0,Wankhede Stadium
34,2021,Kolkata,2020-02-03,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,field,normal,0,Mumbai Indians,52,8,Eden Gardens
35,2021,Kolkata,2020-02-04,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,53,1,Eden Gardens
36,2023,Bangalore,2020-02-05,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,field,normal,0,Chennai Super Kings,47,8,MA Chidambaram Stadium
37,2023,Mumbai,2020-02-06,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,18,4,Eden Gardens
38,2023,Hyderabad,2020-02-07,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,90,3,MA Chidambaram Stadium
39,2024,Jaipur,2020-02-08,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,29,2,MA Chidambaram Stadium
40,2024,Chennai,2020-02-09,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,3,M Chinnaswamy Stadium
41,2021,Mohali,2020-02-10,Mumbai Indians,Delhi Capitals,Chennai Super Kings,bat,tie,0,Chennai Super Kings,87,9,Eden Gardens
42,2023,Mohali,2020-02-11,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,70,8,M Chinnaswamy Stadium
43,2022,Mumbai,2020-02-12,Mumbai Indians,Delhi Capitals,Chennai Super Kings,field,normal,0,Mumbai Indians,23,9,MA Chidambaram Stadium
44,2021,Bangalore,2020-02-13,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Chennai Super Kings,33,0,Eden Gardens
45,2020,Mohali,2020-02-14,Chennai Super Kings,Delhi Capitals,Mumbai Indians,field,normal,0,Kolkata Knight Riders,95,9,M Chinnaswamy Stadium
46,2024,Hyderabad,2020-02-15,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,38,8,Eden Gardens
47,2023,Mohali,2020-02-16,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,1,Royal Challengers Bangalore,10,2,MA Chidambaram Stadium
48,2020,Hyderabad,2020-02-17,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,86,5,Eden Gardens
49,2023,Bangalore,2020-02-18,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,95,6,Eden Gardens
50,2021,Mohali,2020-02-19,Kolkata Knight Riders,Punjab Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,4,5,Eden Gardens
51,2022,Chennai,2020-02-20,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,bat,normal,0,Mumbai Indians,49,8,Eden Gardens
52,2023,Jaipur,2020-02-21,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,tie,1,Chennai Super Kings,90,8,Eden Gardens
53,2023,Jaipur,2020-02-22,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,field,tie,0,Chennai Super Kings,69,8,MA Chidambaram Stadium
54,2021,Mohali,2020-02-23,Kolkata Knight Riders,Delhi Capitals,Mumbai Indians,field,tie,0,Chennai Super Kings,66,4,Eden Gardens
55,2023,Mohali,2020-02-24,Mumbai Indians,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,88,7,MA Chidambaram Stadium
56,2022,Mohali,2020-02-25,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,17,7,Eden Gardens
57,2021,Chennai,2020-02-26,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,45,0,Eden Gardens
58,2022,Delhi,2020-02-27,Mumbai Indians,Delhi Capitals,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,95,4,Wankhede Stadium
59,2024,Kolkata,2020-02-28,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,69,1,Wankhede Stadium
60,2020,Kolkata,2020-02-29,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,tie,0,Chennai Super Kings,10,9,Wankhede Stadium
61,2023,Hyderabad,2020-03-01,Chennai Super Kings,Delhi Capitals,Mumbai Indians,field,normal,0,Chennai Super Kings,49,5,M Chinnaswamy Stadium
62,2024,Kolkata,2020-03-02,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,field,normal,1,Royal Challengers Bangalore,26,1,Wankhede Stadium
63,2021,Hyderabad,2020-03-03,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,90,7,M Chinnaswamy Stadium
64,2023,Mumbai,2020-03-04,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,43,7,MA Chidambaram Stadium
65,2021,Kolkata,2020-03-05,Chennai Super Kings,Delhi Capitals,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,17,5,Eden Gardens
66,2022,Mumbai,2020-03-06,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,57,3,Eden Gardens
67,2022,Delhi,2020-03-07,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,39,6,M Chinnaswamy Stadium
68,2022,Jaipur,2020-03-08,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,20,1,M Chinnaswamy Stadium
69,2023,Delhi,2020-03-09,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,23,9,MA Chidambaram Stadium
70,2023,Hyderabad,2020-03-10,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,0,3,Eden Gardens
71,2024,Mumbai,2020-03-11,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,0,Royal Challengers Bangalore,41,1,Eden Gardens
72,2023,Mumbai,2020-03-12,Kolkata Knight Riders,Delhi Capitals,Mumbai Indians,bat,normal,0,Mumbai Indians,34,8,Wankhede Stadium
73,2024,Bangalore,2020-03-13,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,33,7,M Chinnaswamy Stadium
74,2023,Delhi,2020-03-14,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Chennai Super Kings,44,8,MA Chidambaram Stadium
75,2020,Jaipur,2020-03-15,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,bat,normal,1,Mumbai Indians,54,3,Eden Gardens
76,2023,Chennai,2020-03-16,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,11,3,MA Chidambaram Stadium
77,2023,Jaipur,2020-03-17,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,7,2,MA Chidambaram Stadium
78,2021,Kolkata,2020-03-18,Kolkata Knight Riders,Delhi Capitals,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,5,2,M Chinnaswamy Stadium
79,2024,Mohali,2020-03-19,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,field,normal,1,Mumbai Indians,82,6,Wankhede Stadium
80,2022,Kolkata,2020-03-20,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,bat,tie,0,Mumbai Indians,60,0,Eden Gardens
81,2020,Hyderabad,2020-03-21,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,tie,0,Kolkata Knight Riders,12,3,MA Chidambaram Stadium
82,2023,Jaipur,2020-03-22,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Mumbai Indians,6,6,Wankhede Stadium
83,2022,Mohali,2020-03-23,Mumbai Indians,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,32,1,MA Chidambaram Stadium
84,2024,Chennai,2020-03-24,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,15,7,Eden Gardens
85,2022,Bangalore,2020-03-25,Kolkata Knight Riders,Rajasthan Royals,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,18,4,Eden Gardens
86,2022,Delhi,2020-03-26,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,73,2,M Chinnaswamy Stadium
87,2024,Chennai,2020-03-27,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,3,7,Eden Gardens
88,2021,Bangalore,2020-03-28,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,54,3,Wankhede Stadium
89,2022,Mohali,2020-03-29,Kolkata Knight Riders,Rajasthan Royals,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,28,4,Wankhede Stadium
90,2021,Mohali,2020-03-30,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,73,2,MA Chidambaram Stadium
91,2024,Mumbai,2020-03-31,Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Kolkata Knight Riders,1,1,M Chinnaswamy Stadium
92,2020,Delhi,2020-04-01,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,23,9,Eden Gardens
93,2022,Hyderabad,2020-04-02,Kolkata Knight Riders,Punjab Kings,Mumbai Indians,bat,tie,0,Chennai Super Kings,37,4,MA Chidambaram Stadium
94,2020,Delhi,2020-04-03,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,93,3,M Chinnaswamy Stadium
95,2021,Chennai,2020-04-04,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,30,5,Wankhede Stadium
96,2024,Chennai,2020-04-05,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,33,2,MA Chidambaram Stadium
97,2023,Hyderabad,2020-04-06,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,bat,normal,0,Chennai Super Kings,79,9,M Chinnaswamy Stadium
98,2021,Mumbai,2020-04-07,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,field,tie,1,Kolkata Knight Riders,61,6,MA Chidambaram Stadium
99,2024,Kolkata,2020-04-08,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,1,3,M Chinnaswamy Stadium
100,2024,Delhi,2020-04-09,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,77,5,M Chinnaswamy Stadium
101,2020,Delhi,2020-04-10,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,19,9,Wankhede Stadium
102,2020,Mohali,2020-04-11,Kolkata Knight Riders,Punjab Kings,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,80,1,MA Chidambaram Stadium
103,2024,Bangalore,2020-04-12,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,69,9,M Chinnaswamy Stadium
104,2023,Hyderabad,2020-04-13,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,77,8,Wankhede Stadium
105,2022,Mumbai,2020-04-14,Chennai Super Kings,Punjab Kings,Mumbai Indians,field,tie,0,Kolkata Knight Riders,82,2,Wankhede Stadium
106,2021,Mohali,2020-04-15,Chennai Super Kings,Delhi Capitals,Mumbai Indians,field,normal,0,Mumbai Indians,38,7,MA Chidambaram Stadium
107,2024,Kolkata,2020-04-16,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,39,4,MA Chidambaram Stadium
108,2022,Jaipur,2020-04-17,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,normal,1,Mumbai Indians,62,4,MA Chidambaram Stadium
109,2022,Jaipur,2020-04-18,Mumbai Indians,Rajasthan Royals,Chennai Super Kings,field,tie,1,Chennai Super Kings,0,3,M Chinnaswamy Stadium
110,2020,Bangalore,2020-04-19,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,33,2,M Chinnaswamy Stadium
111,2023,Mohali,2020-04-20,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,62,0,Wankhede Stadium
112,2024,Hyderabad,2020-04-21,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,14,2,MA Chidambaram Stadium
113,2024,Mumbai,2020-04-22,Kolkata Knight Riders,Punjab Kings,Mumbai Indians,field,normal,0,Kolkata Knight Riders,28,0,Wankhede Stadium
114,2022,Jaipur,2020-04-23,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,3,1,MA Chidambaram Stadium
115,2024,Mumbai,2020-04-24,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,bat,tie,1,Royal Challengers Bangalore,90,8,Eden Gardens
116,2023,Hyderabad,2020-04-25,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,field,tie,1,Royal Challengers Bangalore,25,0,M Chinnaswamy Stadium
117,2022,Bangalore,2020-04-26,Chennai Super Kings,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,Royal Challengers Bangalore,68,3,M Chinnaswamy Stadium
118,2021,Kolkata,2020-04-27,Chennai Super Kings,Delhi Capitals,Mumbai Indians,bat,normal,0,Mumbai Indians,56,3,Eden Gardens
119,2020,Hyderabad,2020-04-28,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,37,6,Wankhede Stadium
120,2021,Hyderabad,2020-04-29,Chennai Super Kings,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,91,5,Wankhede Stadium
121,2021,Hyderabad,2020-04-30,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,23,7,MA Chidambaram Stadium
122,2023,Hyderabad,2020-05-01,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,1,Chennai Super Kings,32,9,M Chinnaswamy Stadium
123,2020,Kolkata,2020-05-02,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,field,normal,0,Chennai Super Kings,22,8,Eden Gardens
124,2022,Mumbai,2020-05-03,Kolkata Knight Riders,Punjab Kings,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,10,5,M Chinnaswamy Stadium
125,2024,Mohali,2020-05-04,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,86,5,M Chinnaswamy Stadium
126,2024,Chennai,2020-05-05,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Kolkata Knight Riders,62,7,MA Chidambaram Stadium
127,2021,Hyderabad,2020-05-06,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,field,normal,1,Royal Challengers Bangalore,20,5,Eden Gardens
128,2021,Bangalore,2020-05-07,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,77,2,MA Chidambaram Stadium
129,2023,Bangalore,2020-05-08,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,86,2,M Chinnaswamy Stadium
130,2024,Mohali,2020-05-09,Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Mumbai Indians,90,6,Eden Gardens
131,2023,Kolkata,2020-05-10,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,field,tie,0,Kolkata Knight Riders,48,2,M Chinnaswamy Stadium
132,2021,Kolkata,2020-05-11,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,14,5,Wankhede Stadium
133,2020,Chennai,2020-05-12,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Chennai Super Kings,38,0,Wankhede Stadium
134,2024,Delhi,2020-05-13,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,89,7,Wankhede Stadium
135,2023,Kolkata,2020-05-14,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,51,7,Wankhede Stadium
136,2024,Bangalore,2020-05-15,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,6,6,Eden Gardens
137,2021,Chennai,2020-05-16,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,tie,0,Mumbai Indians,31,7,Eden Gardens
138,2022,Delhi,2020-05-17,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,9,8,MA Chidambaram Stadium
139,2023,Mumbai,2020-05-18,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,81,0,M Chinnaswamy Stadium
140,2022,Kolkata,2020-05-19,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,85,5,Wankhede Stadium
141,2020,Jaipur,2020-05-20,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,tie,0,Royal Challengers Bangalore,73,4,Wankhede Stadium
142,2020,Mumbai,2020-05-21,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,field,tie,0,Kolkata Knight Riders,70,6,Wankhede Stadium
143,2021,Mohali,2020-05-22,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,72,8,Wankhede Stadium
144,2024,Hyderabad,2020-05-23,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,field,normal,0,Kolkata Knight Riders,9,9,M Chinnaswamy Stadium
145,2024,Delhi,2020-05-24,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,37,9,Eden Gardens
146,2020,Bangalore,2020-05-25,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Kolkata Knight Riders,21,8,MA Chidambaram Stadium
147,2023,Chennai,2020-05-26,Kolkata Knight Riders,Rajasthan Royals,Chennai Super Kings,field,normal,1,Chennai Super Kings,52,7,Eden Gardens
148,2024,Mohali,2020-05-27,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,97,8,MA Chidambaram Stadium
149,2023,Hyderabad,2020-05-28,Mumbai Indians,Punjab Kings,Mumbai Indians,field,normal,0,Mumbai Indians,58,1,M Chinnaswamy Stadium
150,2020,Chennai,2020-05-29,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,35,6,Wankhede Stadium
151,2020,Mumbai,2020-05-30,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,bat,tie,0,Royal Challengers Bangalore,80,1,Eden Gardens
152,2024,Jaipur,2020-05-31,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,89,5,Wankhede Stadium
153,2020,Mohali,2020-06-01,Kolkata Knight Riders,Punjab Kings,Chennai Super Kings,bat,tie,1,Chennai Super Kings,42,1,MA Chidambaram Stadium
154,2022,Bangalore,2020-06-02,Mumbai Indians,Delhi Capitals,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,7,6,Wankhede Stadium
155,2021,Bangalore,2020-06-03,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,74,9,Eden Gardens
156,2023,Kolkata,2020-06-04,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,79,7,Wankhede Stadium
157,2020,Chennai,2020-06-05,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,27,0,Eden Gardens
158,2022,Hyderabad,2020-06-06,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,73,4,M Chinnaswamy Stadium
159,2020,Delhi,2020-06-07,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Royal Challengers Bangalore,48,7,Eden Gardens
160,2022,Jaipur,2020-06-08,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,field,normal,1,Mumbai Indians,64,0,Wankhede Stadium
161,2024,Bangalore,2020-06-09,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,92,7,Eden Gardens
162,2021,Mohali,2020-06-10,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,normal,0,Mumbai Indians,38,0,MA Chidambaram Stadium
163,2022,Kolkata,2020-06-11,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,96,4,Eden Gardens
164,2024,Chennai,2020-06-12,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,84,4,Wankhede Stadium
165,2020,Hyderabad,2020-06-13,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,55,6,Wankhede Stadium
166,2023,Mumbai,2020-06-14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Royal Challengers Bangalore,69,1,Wankhede Stadium
